"id","lat","lon","n"
968043647,45.818989,-77.220322,"7"
968043663,45.614037,-77.11647,"4"
968043688,45.827316,-77.120125,"1"
968043728,45.791702,-76.902756,"1"
968043793,45.791702,-76.902756,"1"
968043884,45.791702,-76.902756,"1"
968044027,45.791702,-76.902756,"1"
968044086,45.79464,-76.91172,"1"
968044162,45.791702,-76.902756,"1"
968044257,45.79464,-76.91172,"1"
968044288,45.61908,-77.112358,"1"
968044330,45.791702,-76.902756,"1"
968044371,45.884056,-77.246338,"1"
968044431,45.791702,-76.902756,"1"
968044582,45.791702,-76.902756,"1"
968044658,45.557571,-77.417389,"299"
968044684,45.557571,-77.417389,"393"
968044718,45.557571,-77.417389,"321"
968044749,45.557571,-77.417389,"300"
968044786,45.557571,-77.417389,"445"
968044819,45.557571,-77.417389,"444"
968044854,45.557571,-77.417389,"466"
968044884,45.557571,-77.417389,"720"
968044916,45.557571,-77.417389,"826"
968045050,46.050598,-77.524162,"8"
968045684,45.884056,-77.246338,"1"
968045722,45.791702,-76.902756,"1"
968045822,45.791702,-76.902756,"1"
968045880,45.791702,-76.902756,"1"
968045907,45.884056,-77.246338,"1"
968046045,45.818989,-77.220322,"7"
968046698,45.818989,-77.220322,"3"
968047152,45.511097,-77.505333,"4"
968047260,45.818989,-77.220322,"6"
968047299,45.511097,-77.505333,"4"
968047339,45.818989,-77.220322,"7"
968047348,45.790867,-76.783707,"2"
968047364,45.818989,-77.220322,"7"
968047377,45.809177,-77.366669,"6"
968047383,45.818989,-77.220322,"7"
968047394,45.818989,-77.220322,"7"
968047445,45.884056,-77.246338,"1"
968047459,45.821648,-77.300064,"2"
968047992,45.818989,-77.220322,"7"
968048007,45.66671,-76.947128,"2"
968048019,45.809177,-77.366669,"4"
968048047,45.818989,-77.220322,"6"
968048060,45.818989,-77.220322,"5"
968048072,45.818989,-77.220322,"7"
968048093,45.818989,-77.220322,"7"
968048102,45.821648,-77.300064,"1"
968048137,45.818989,-77.220322,"6"
968048155,45.818989,-77.220322,"6"
968048196,45.818989,-77.220322,"6"
968048252,45.821163,-77.113586,"1"
968048272,45.818989,-77.220322,"5"
968048293,45.818989,-77.220322,"3"
968048317,45.438354,-76.336388,"1"
968048361,45.821163,-77.113586,"1"
968048383,45.633461,-77.067146,"1"
968048398,45.818989,-77.220322,"7"
968048505,46.085766,-77.460342,"9"
968048619,46.085766,-77.460342,"1"
968049310,45.818989,-77.220322,"6"
968049321,45.818989,-77.220322,"6"
968049381,45.633461,-77.067146,"1"
968049429,45.838654,-77.234856,"3"
968049442,45.821648,-77.300064,"2"
968049490,45.812889,-77.039017,"1"
968049580,45.884056,-77.246338,"2"
968049618,46.167706,-77.629822,"6"
968049645,45.614037,-77.11647,"4"
968049678,45.614037,-77.11647,"2"
968049697,45.632854,-77.067413,"3"
968049802,45.626408,-77.034775,"1"
968049962,45.818989,-77.220322,"6"
968050016,45.821648,-77.300064,"2"
